trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.99}",25,0,-128.89047655875086,"{0: 17, 1: 0, 2: 5, 3: 1, 4: 2}",0
2,False,"{'a': 0.5, 'e': 0.98}",20,0,-17.617965960136488,"{0: 15, 1: 3, 2: 2, 3: 0, 4: 0}",0
3,False,"{'a': 0.5, 'e': 0.97}",30,0,-165.38841038209958,"{0: 17, 1: 4, 2: 6, 3: 1, 4: 2}",0
4,False,"{'a': 0.5, 'e': 0.96}",20,0,-131.78866631478786,"{0: 11, 1: 1, 2: 6, 3: 0, 4: 2}",0
5,False,"{'a': 0.5, 'e': 0.95}",20,0,-28.115092531157508,"{0: 15, 1: 2, 2: 2, 3: 1, 4: 0}",0
6,False,"{'a': 0.5, 'e': 0.94}",20,0,-52.30427827387003,"{0: 16, 1: 2, 2: 0, 3: 1, 4: 1}",0
7,False,"{'a': 0.5, 'e': 0.9299999999999999}",20,0,-109.80734164592816,"{0: 12, 1: 0, 2: 6, 3: 1, 4: 1}",0
8,False,"{'a': 0.5, 'e': 0.9199999999999999}",20,0,-68.32780894557591,"{0: 14, 1: 2, 2: 2, 3: 1, 4: 1}",0
9,False,"{'a': 0.5, 'e': 0.9099999999999999}",25,0,-115.62141078579235,"{0: 17, 1: 2, 2: 3, 3: 1, 4: 2}",0
10,False,"{'a': 0.5, 'e': 0.8999999999999999}",20,0,-82.44332036807452,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 1}",0
11,False,"{'a': 0.5, 'e': 0.8899999999999999}",20,0,-113.2020185145185,"{0: 9, 1: 6, 2: 3, 3: 1, 4: 1}",0
12,False,"{'a': 0.5, 'e': 0.8799999999999999}",25,0,-118.5894117523608,"{0: 18, 1: 0, 2: 4, 3: 1, 4: 2}",0
13,False,"{'a': 0.5, 'e': 0.8699999999999999}",25,12,-68.88551745580928,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 2}",1
14,False,"{'a': 0.5, 'e': 0.8599999999999999}",20,0,-56.54019046851261,"{0: 15, 1: 0, 2: 4, 3: 0, 4: 1}",0
15,False,"{'a': 0.5, 'e': 0.8499999999999999}",25,0,-144.36217403402802,"{0: 15, 1: 2, 2: 5, 3: 1, 4: 2}",0
16,False,"{'a': 0.5, 'e': 0.8399999999999999}",25,7,-134.2578151690761,"{0: 8, 1: 3, 2: 5, 3: 0, 4: 2}",1
17,False,"{'a': 0.5, 'e': 0.8299999999999998}",20,0,-42.97161244403987,"{0: 13, 1: 2, 2: 5, 3: 0, 4: 0}",0
18,False,"{'a': 0.5, 'e': 0.8199999999999998}",25,0,-75.07221575465313,"{0: 17, 1: 3, 2: 4, 3: 0, 4: 1}",1
19,False,"{'a': 0.5, 'e': 0.8099999999999998}",25,2,-116.20990308679335,"{0: 17, 1: 0, 2: 3, 3: 1, 4: 2}",1
