trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.3, 'e': 0.951229424500714}",20,0,-73.3095521768585,"{0: 15, 1: 0, 2: 3, 3: 1, 4: 1}",0
2,False,"{'a': 0.3, 'e': 0.9048374180359595}",25,0,-122.04609594297881,"{0: 16, 1: 0, 2: 6, 3: 2, 4: 1}",0
3,False,"{'a': 0.3, 'e': 0.8607079764250578}",20,0,-80.3615773138137,"{0: 11, 1: 1, 2: 7, 3: 1, 4: 0}",0
4,False,"{'a': 0.3, 'e': 0.8187307530779818}",20,0,-40.51143369182101,"{0: 16, 1: 2, 2: 1, 3: 0, 4: 1}",0
5,False,"{'a': 0.3, 'e': 0.7788007830714049}",30,0,-80.75196393911858,"{0: 21, 1: 2, 2: 6, 3: 0, 4: 1}",0
6,False,"{'a': 0.3, 'e': 0.7408182206817179}",30,0,-51.79820302923791,"{0: 24, 1: 3, 2: 2, 3: 0, 4: 1}",0
7,False,"{'a': 0.3, 'e': 0.7046880897187134}",20,0,21.78140212945162,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
8,False,"{'a': 0.3, 'e': 0.6703200460356393}",20,0,-89.29208620722879,"{0: 14, 1: 2, 2: 2, 3: 0, 4: 2}",0
9,False,"{'a': 0.3, 'e': 0.6376281516217733}",30,0,-89.92492013386304,"{0: 25, 1: 0, 2: 2, 3: 1, 4: 2}",0
10,False,"{'a': 0.3, 'e': 0.6065306597126334}",20,0,-16.054320059216735,"{0: 15, 1: 2, 2: 3, 3: 0, 4: 0}",0
11,False,"{'a': 0.3, 'e': 0.5769498103804866}",35,2,-119.43570887680507,"{0: 21, 1: 5, 2: 5, 3: 0, 4: 2}",1
12,False,"{'a': 0.3, 'e': 0.5488116360940264}",20,0,-47.42725820577402,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 1}",0
13,False,"{'a': 0.3, 'e': 0.522045776761016}",20,0,-9.939392433367535,"{0: 16, 1: 0, 2: 4, 3: 0, 4: 0}",0
14,False,"{'a': 0.3, 'e': 0.49658530379140947}",20,0,-62.85280495241958,"{0: 15, 1: 0, 2: 4, 3: 0, 4: 1}",0
15,False,"{'a': 0.3, 'e': 0.4723665527410147}",25,0,-96.83580543928527,"{0: 18, 1: 1, 2: 4, 3: 0, 4: 2}",0
