trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",30,0,-167.5607549838702,"{0: 17, 1: 5, 2: 4, 3: 2, 4: 2}",0
2,False,"{'a': 0.5, 'e': 1.0}",25,0,-90.60354044637442,"{0: 19, 1: 3, 2: 0, 3: 1, 4: 2}",0
3,False,"{'a': 0.5, 'e': 1.0}",20,5,-27.51428410091441,"{0: 12, 1: 0, 2: 2, 3: 1, 4: 0}",1
4,False,"{'a': 0.5, 'e': 1.0}",25,0,-90.17330715841564,"{0: 16, 1: 3, 2: 5, 3: 0, 4: 1}",0
5,False,"{'a': 0.5, 'e': 1.0}",25,0,-190.059642193528,"{0: 10, 1: 4, 2: 8, 3: 1, 4: 2}",0
6,False,"{'a': 0.5, 'e': 1.0}",30,0,-101.7530632060185,"{0: 15, 1: 7, 2: 8, 3: 0, 4: 0}",0
7,False,"{'a': 0.5, 'e': 1.0}",20,4,-59.14525105493872,"{0: 11, 1: 1, 2: 3, 3: 0, 4: 1}",1
8,False,"{'a': 0.5, 'e': 1.0}",20,0,-93.27761130592106,"{0: 13, 1: 1, 2: 4, 3: 1, 4: 1}",0
9,False,"{'a': 0.5, 'e': 1.0}",20,0,-150.82643556703283,"{0: 12, 1: 0, 2: 4, 3: 2, 4: 2}",0
10,False,"{'a': 0.5, 'e': 1.0}",25,0,-152.1048237734183,"{0: 15, 1: 1, 2: 6, 3: 1, 4: 2}",0
11,False,"{'a': 0.5, 'e': 1.0}",20,5,-128.5103907276858,"{0: 6, 1: 4, 2: 2, 3: 1, 4: 2}",1
12,False,"{'a': 0.5, 'e': 1.0}",20,0,-105.5962348388798,"{0: 10, 1: 2, 2: 6, 3: 2, 4: 0}",0
13,False,"{'a': 0.5, 'e': 1.0}",30,0,-117.57391524384295,"{0: 16, 1: 7, 2: 4, 3: 3, 4: 0}",0
14,False,"{'a': 0.5, 'e': 1.0}",20,0,-195.64482703663327,"{0: 10, 1: 2, 2: 2, 3: 3, 4: 3}",0
15,False,"{'a': 0.5, 'e': 1.0}",25,0,-137.85856045946878,"{0: 12, 1: 3, 2: 8, 3: 1, 4: 1}",0
16,False,"{'a': 0.5, 'e': 1.0}",20,0,-122.38831081126737,"{0: 9, 1: 1, 2: 9, 3: 0, 4: 1}",0
17,False,"{'a': 0.5, 'e': 1.0}",25,1,-152.83560807757186,"{0: 12, 1: 4, 2: 5, 3: 1, 4: 2}",1
18,False,"{'a': 0.5, 'e': 1.0}",20,0,-145.58112463934233,"{0: 12, 1: 1, 2: 3, 3: 2, 4: 2}",0
19,False,"{'a': 0.5, 'e': 1.0}",25,0,-118.38147769090091,"{0: 15, 1: 1, 2: 7, 3: 1, 4: 1}",0
20,False,"{'a': 0.5, 'e': 1.0}",35,0,-278.3695114057631,"{0: 16, 1: 8, 2: 6, 3: 0, 4: 5}",0
1,True,"{'a': 0.5, 'e': 1.0}",20,11,-3.229973563633752,"{0: 7, 1: 0, 2: 2, 3: 0, 4: 0}",1
2,True,"{'a': 0.5, 'e': 1.0}",20,0,-114.41968395844133,"{0: 10, 1: 2, 2: 6, 3: 1, 4: 1}",0
3,True,"{'a': 0.5, 'e': 1.0}",20,0,-114.6243569209382,"{0: 10, 1: 3, 2: 5, 3: 1, 4: 1}",0
4,True,"{'a': 0.5, 'e': 1.0}",25,0,-238.77259408396304,"{0: 14, 1: 0, 2: 5, 3: 2, 4: 4}",0
5,True,"{'a': 0.5, 'e': 1.0}",20,0,-109.05100154424696,"{0: 10, 1: 3, 2: 5, 3: 1, 4: 1}",0
6,True,"{'a': 0.5, 'e': 1.0}",20,0,-40.86988892590835,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
7,True,"{'a': 0.5, 'e': 1.0}",20,0,-54.44374919971668,"{0: 14, 1: 4, 2: 1, 3: 0, 4: 1}",0
8,True,"{'a': 0.5, 'e': 1.0}",25,0,-59.15856302351174,"{0: 17, 1: 2, 2: 5, 3: 1, 4: 0}",0
9,True,"{'a': 0.5, 'e': 1.0}",20,0,-84.26353605168104,"{0: 15, 1: 1, 2: 2, 3: 0, 4: 2}",0
10,True,"{'a': 0.5, 'e': 1.0}",20,10,-67.24715830567968,"{0: 6, 1: 0, 2: 2, 3: 1, 4: 1}",1
